"Date","Price","Open","High","Low","Change %"
"Dec 08, 2021","27.1498","27.2652","27.3900","27.1296","-0.44%"
"Dec 07, 2021","27.2698","27.3900","27.3900","27.2496","0.08%"
"Dec 06, 2021","27.2492","27.3725","27.4298","27.2545","-0.29%"
"Dec 03, 2021","27.3288","27.2550","27.3524","27.2200","0.48%"
"Dec 02, 2021","27.1992","27.3700","27.3925","27.2234","-0.55%"
"Dec 01, 2021","27.3492","27.1650","27.3829","27.1274","0.74%"
"Nov 30, 2021","27.1492","27.2750","27.3245","27.0900","-0.45%"
"Nov 29, 2021","27.2714","27.1351","27.2862","27.1051","0.48%"
"Nov 26, 2021","27.1399","27.0600","27.1554","27.0375","0.33%"
"Nov 25, 2021","27.0496","26.9800","27.0730","26.9596","0.30%"
"Nov 24, 2021","26.9695","26.8850","27.0180","26.8680","0.52%"
"Nov 23, 2021","26.8290","26.8100","26.9125","26.3225","0.13%"
"Nov 22, 2021","26.7948","26.6000","26.8230","26.5900","0.96%"
"Nov 19, 2021","26.5398","26.5250","26.6120","26.4818","0.08%"
"Nov 18, 2021","26.5192","26.4201","26.5454","26.3225","0.38%"
"Nov 17, 2021","26.4191","26.3225","26.5618","26.3225","-0.23%"
"Nov 16, 2021","26.4793","26.3375","26.5104","26.3305","0.55%"
"Nov 15, 2021","26.3342","26.2250","26.3850","26.0700","0.27%"
"Nov 12, 2021","26.2642","26.1000","26.2955","26.0730","0.63%"
"Nov 11, 2021","26.1006","26.1550","26.1749","26.0617","0.04%"
"Nov 10, 2021","26.0890","26.0751","26.1329","26.0439","0.15%"
"Nov 09, 2021","26.0498","26.0800","26.2900","26.0517","-0.10%"
"Nov 08, 2021","26.0750","26.1150","26.2900","26.0609","-0.13%"
"Nov 05, 2021","26.1094","26.1349","26.2900","26.0821","0.04%"
"Nov 04, 2021","26.0999","26.2450","26.2900","26.1296","-0.57%"
"Nov 03, 2021","26.2494","26.2700","26.2873","26.2200","-0.00%"
"Nov 02, 2021","26.2497","26.3000","26.3300","26.2423","-0.19%"
"Nov 01, 2021","26.2997","26.2750","26.3402","26.2605","0.15%"
"Oct 29, 2021","26.2597","26.2927","26.3232","26.2355","-0.15%"
"Oct 28, 2021","26.2992","26.3652","26.3785","26.2875","-0.15%"
"Oct 27, 2021","26.3393","26.3950","26.4195","26.3425","-0.17%"
"Oct 26, 2021","26.3846","26.4250","26.4724","26.3703","0.06%"
"Oct 25, 2021","26.3693","26.2752","26.4775","26.2551","0.32%"
"Oct 22, 2021","26.2845","26.3288","26.3527","26.2751","-0.13%"
"Oct 21, 2021","26.3193","26.1904","26.3803","26.1556","0.55%"
"Oct 20, 2021","26.1749","26.2498","26.2652","26.1698","-0.21%"
"Oct 19, 2021","26.2292","26.2951","26.3950","26.2371","-0.19%"
"Oct 18, 2021","26.2799","26.3400","26.3507","26.2820","-0.34%"
"Oct 13, 2021","26.3698","26.3597","26.3927","26.3302","0.09%"
"Oct 12, 2021","26.3448","26.3799","26.4004","26.3378","0.02%"
"Oct 11, 2021","26.3395","26.4000","26.4060","26.3246","-0.08%"
"Oct 08, 2021","26.3595","26.2701","26.4100","26.2701","0.30%"
"Oct 07, 2021","26.2796","26.4100","26.4105","26.2896","-0.23%"
"Oct 06, 2021","26.3391","26.3897","26.4405","26.3142","-0.08%"
"Oct 05, 2021","26.3599","26.5000","26.5625","26.3733","-0.45%"
"Oct 04, 2021","26.4794","26.6301","26.8512","26.4757","-0.56%"
"Oct 01, 2021","26.6294","26.5800","26.8512","26.5645","0.21%"
"Sep 30, 2021","26.5741","26.6100","26.6824","26.5275","0.02%"
"Sep 29, 2021","26.5701","26.5650","26.8512","26.5280","0.16%"
"Sep 28, 2021","26.5278","26.6400","26.6500","26.5078","-0.16%"
"Sep 27, 2021","26.5699","26.5275","26.8512","26.5275","-0.49%"
"Sep 24, 2021","26.6995","26.5500","26.7474","26.5500","0.34%"
"Sep 23, 2021","26.6091","26.5800","26.6652","26.4728","0.15%"
"Sep 22, 2021","26.5693","26.7150","26.7386","26.5403","-0.49%"
"Sep 21, 2021","26.6994","26.7000","26.7495","26.6751","0.05%"
"Sep 20, 2021","26.6848","26.6901","26.8512","26.6595","0.05%"
